   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:37,874 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line38 | 2022-09-06 14:48:37,874 | 返回状态码不符400!=200
    INFO | simple_requests.py | Line42 | 2022-09-06 14:48:37,874 | 不存在指定的字符串模式[prov.*山东]
    INFO | simple_requests.py | Line21 | 2022-09-06 14:48:38,545 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:48:38,545 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:38,795 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line42 | 2022-09-06 14:48:38,811 | 不存在指定的字符串模式[参数不正确]
    INFO | simple_requests.py | Line21 | 2022-09-06 14:48:39,326 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:48:39,326 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:39,561 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line38 | 2022-09-06 14:48:39,576 | 返回状态码不符400!=200
    INFO | simple_requests.py | Line42 | 2022-09-06 14:48:39,576 | 不存在指定的字符串模式[prov.*黑龙江]
    INFO | simple_requests.py | Line18 | 2022-09-06 14:48:40,076 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 14:48:40,076 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:40,217 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%8C%97%E4%BA%AC%E5%B8%82 HTTP/1.1" 200 408
    INFO | test_cases.py | Line22 | 2022-09-06 14:48:40,217 | 测试用例#1 天气-正确城市执行完毕
    INFO | simple_requests.py | Line18 | 2022-09-06 14:48:40,732 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 14:48:40,732 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:40,935 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 None
    INFO | simple_requests.py | Line42 | 2022-09-06 14:48:40,967 | 不存在指定的字符串模式[invalid-citykey]
    INFO | simple_requests.py | Line18 | 2022-09-06 14:48:41,498 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 14:48:41,498 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:48:41,576 | http://wthrcdn.etouch.cn:80 "GET /weather_mini HTTP/1.1" 200 60
    INFO | simple_requests.py | Line42 | 2022-09-06 14:48:41,576 | 不存在指定的字符串模式[invalid-citykey]
    INFO | load_data.py | Line33 | 2022-09-06 14:50:58,658 | 加载了data.yaml中的数据
    INFO | load_data.py | Line62 | 2022-09-06 14:50:58,673 | 加载了data.xlsx中的数据
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,673 | Looking for locale `en_US` in provider `faker.providers.address`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,689 | Provider `faker.providers.address` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,689 | Looking for locale `en_US` in provider `faker.providers.automotive`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,689 | Provider `faker.providers.automotive` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,689 | Looking for locale `en_US` in provider `faker.providers.bank`.
   DEBUG | factory.py | Line98 | 2022-09-06 14:50:58,689 | Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,689 | Looking for locale `en_US` in provider `faker.providers.barcode`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,705 | Provider `faker.providers.barcode` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,705 | Looking for locale `en_US` in provider `faker.providers.color`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,705 | Provider `faker.providers.color` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,705 | Looking for locale `en_US` in provider `faker.providers.company`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,705 | Provider `faker.providers.company` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,705 | Looking for locale `en_US` in provider `faker.providers.credit_card`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,720 | Provider `faker.providers.credit_card` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,720 | Looking for locale `en_US` in provider `faker.providers.currency`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,720 | Provider `faker.providers.currency` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,720 | Looking for locale `en_US` in provider `faker.providers.date_time`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,720 | Provider `faker.providers.date_time` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:50:58,720 | Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,720 | Looking for locale `en_US` in provider `faker.providers.geo`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,720 | Provider `faker.providers.geo` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,720 | Looking for locale `en_US` in provider `faker.providers.internet`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,736 | Provider `faker.providers.internet` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:50:58,736 | Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,736 | Looking for locale `en_US` in provider `faker.providers.job`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,736 | Provider `faker.providers.job` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,736 | Looking for locale `en_US` in provider `faker.providers.lorem`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,751 | Provider `faker.providers.lorem` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,751 | Looking for locale `en_US` in provider `faker.providers.misc`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,751 | Provider `faker.providers.misc` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,751 | Looking for locale `en_US` in provider `faker.providers.person`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,751 | Provider `faker.providers.person` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,767 | Looking for locale `en_US` in provider `faker.providers.phone_number`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,767 | Provider `faker.providers.phone_number` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:50:58,767 | Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line115 | 2022-09-06 14:50:58,767 | Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-06 14:50:58,767 | Looking for locale `en_US` in provider `faker.providers.ssn`.
   DEBUG | factory.py | Line104 | 2022-09-06 14:50:58,783 | Provider `faker.providers.ssn` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-06 14:50:58,783 | Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
    INFO | test_cases.py | Line19 | 2022-09-06 14:50:58,783 | 测试用例#1 油价-正确省份开始执行
    INFO | simple_requests.py | Line21 | 2022-09-06 14:50:59,298 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:50:59,298 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:50:59,564 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line38 | 2022-09-06 14:50:59,579 | 返回状态码不符400!=200
    INFO | simple_requests.py | Line42 | 2022-09-06 14:50:59,579 | 不存在指定的字符串模式[prov.*山东]
    INFO | test_cases.py | Line19 | 2022-09-06 14:50:59,736 | 测试用例#2 油价-错误省份开始执行
    INFO | simple_requests.py | Line21 | 2022-09-06 14:51:00,251 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:51:00,251 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:51:00,485 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line42 | 2022-09-06 14:51:00,485 | 不存在指定的字符串模式[参数不正确]
